ID,Y1,Y2,Y3,Y4,Y5,SY4,SY5
1,189.6453365,209.8580711,1220.607337,4,1,1.16921026,1.136786877
2,157.5630918,354.5650166,1177.57572,2,0,-0.329777253,-0.878792692
3,231.7862624,12.34074796,1299.462371,5,1,1.918704016,1.136786877
4,14.64051837,850.6138709,651.6858277,1,1,-1.079271009,1.136786877
5,68.45758713,528.2307966,1148.919875,1,1,-1.079271009,1.136786877
6,219.4126449,238.5701051,1119.576443,1,1,-1.079271009,1.136786877
7,183.3868288,125.8822729,1472.671043,4,0,1.16921026,-0.878792692
8,19.87656685,914.1076056,549.5690933,1,0,-1.079271009,-0.878792692
9,105.7554634,425.014427,975.7437324,2,0,-0.329777253,-0.878792692
10,3.295811357,951.3013266,869.5960287,1,1,-1.079271009,1.136786877
11,105.8791322,386.9307403,848.9037898,2,0,-0.329777253,-0.878792692
12,53.35611532,80.17882295,1411.679651,1,0,-1.079271009,-0.878792692
13,12.31292088,450.9823706,786.4949246,2,0,-0.329777253,-0.878792692
14,5.034482001,973.4279594,646.5006697,1,0,-1.079271009,-0.878792692
15,53.29154588,119.9295971,1184.986759,5,1,1.918704016,1.136786877
16,42.27441284,765.2524493,800.8467634,1,0,-1.079271009,-0.878792692
17,139.3168582,340.8091085,1063.91336,4,0,1.16921026,-0.878792692
18,3.469584767,971.7205134,490.3326852,1,1,-1.079271009,1.136786877
19,72.69022762,439.1177796,917.2690306,2,1,-0.329777253,1.136786877
20,79.95189647,728.4135063,865.4964514,1,1,-1.079271009,1.136786877
21,366.4610326,229.8697211,1162.574054,3,1,0.419716504,1.136786877
22,12.22458438,390.5694867,1039.074153,5,1,1.918704016,1.136786877
23,114.2300856,140.5017986,1045.956627,3,0,0.419716504,-0.878792692
24,41.66513788,741.4083163,854.8293954,1,0,-1.079271009,-0.878792692
25,104.9039287,305.4975787,1212.835297,3,1,0.419716504,1.136786877
26,88.93150057,450.4455343,1010.466267,1,0,-1.079271009,-0.878792692
27,91.03637177,898.0367786,780.4691954,1,0,-1.079271009,-0.878792692
28,86.46176996,335.3147046,1345.360585,4,1,1.16921026,1.136786877
29,26.22856714,476.4620765,1174.314839,4,1,1.16921026,1.136786877
30,301.2241638,177.479552,1072.351247,2,1,-0.329777253,1.136786877
31,69.20582778,286.760848,1217.692037,2,1,-0.329777253,1.136786877
32,114.1633991,541.9249589,824.3426845,1,0,-1.079271009,-0.878792692
33,102.001201,655.6174627,1093.493351,1,1,-1.079271009,1.136786877
34,116.2938133,633.2058669,1111.272637,2,0,-0.329777253,-0.878792692
35,40.93092608,900.6756097,944.8463292,1,0,-1.079271009,-0.878792692
36,54.58381208,759.2707504,888.136654,1,0,-1.079271009,-0.878792692
37,55.83225214,733.6271698,985.7953327,3,1,0.419716504,1.136786877
38,39.73472677,200.0042699,1326.707665,3,1,0.419716504,1.136786877
39,22.65398452,343.904524,1125.636615,4,0,1.16921026,-0.878792692
40,7.562318317,842.9521932,845.5466705,4,1,1.16921026,1.136786877
41,14.80962558,885.8240489,727.3449689,2,0,-0.329777253,-0.878792692
42,7.762446545,678.972275,997.8145876,5,1,1.918704016,1.136786877
43,274.1251763,69.06847293,1379.707355,4,1,1.16921026,1.136786877
44,169.897437,279.507771,1043.686187,1,0,-1.079271009,-0.878792692
45,76.19046569,676.6443411,712.3293906,1,0,-1.079271009,-0.878792692
46,82.90190799,724.755237,880.7708056,2,1,-0.329777253,1.136786877
47,45.77217188,566.9348386,892.6209841,5,0,1.918704016,-0.878792692
48,169.0172945,414.1237012,951.7023328,3,1,0.419716504,1.136786877
49,15.09288653,702.8561476,1007.492168,1,0,-1.079271009,-0.878792692
50,425.4603262,15.63973328,1279.565846,4,0,1.16921026,-0.878792692
51,80.2975123,774.2070353,1070.319645,2,1,-0.329777253,1.136786877
52,2.342317769,988.4675946,708.8340076,1,0,-1.079271009,-0.878792692
53,266.9062141,395.7302943,913.8794273,5,1,1.918704016,1.136786877
54,23.4606293,672.7127669,1056.752947,4,1,1.16921026,1.136786877
55,28.160345,863.8327965,877.3579103,1,0,-1.079271009,-0.878792692
56,67.28011141,255.4993181,1147.438551,3,0,0.419716504,-0.878792692
57,51.71870378,576.9564431,1254.637706,2,0,-0.329777253,-0.878792692
